	sentence	speaker	dialog_id	subset	uttr_id	sent_id	speaker_continue	opinion	statement	pos_answer	neg_answer	command	comment	other_answers	open_question_factual	yes_no_question	complaint	open_question_opinion	appreciation	dev_command
0	Say, Jim, how about going for a few beers after dinner?	OOOOO	0	train	0	0	0	0.0081923976540565	0.0037685837596654	0.0034134159795939	0.0020735615398734	0.0874176025390625	0.007311194203794	0.0042505166493356	0.0787204056978225	0.1726880371570587	0.0051636807620525	0.5840009450912476	0.0179615207016468	0.0250381287187337
1	You know that is tempting but is really not good for our fitness.	XXXXX	0	train	1	0	0	0.0937409475445747	0.0328562147915363	0.0096825379878282	0.0133267296478152	0.0087734637781977	0.5930461883544922	0.0084754228591918	0.0113213015720248	0.0153301246464252	0.1773874014616012	0.0045333341695368	0.0183074679225683	0.0132188983261585
2	What do you mean?	OOOOO	0	train	2	0	0	0.0086907213553786	0.0037129488773643	0.0018558382289484	0.0042955800890922	0.0042765093967318	0.0025686381850391	0.0030671164859086	0.9160400032997132	0.0048795621842145	0.0143143264576792	0.029974240809679	0.0026683234609663	0.0036561314482241
3	It will help us to relax.	OOOOO	0	train	2	1	1	0.2167031317949295	0.7225347757339478	0.0032039755024015	0.0010946951806545	0.007092394400388	0.0247291289269924	0.0026333981659263	0.0019516197498887	0.0022407311480492	0.0034155847970396	0.0018027486512437	0.006873479578644	0.0057243118062615
4	Do you really think so?	XXXXX	0	train	3	0	0	0.0020605886820703	0.0018488814821466	0.006074802018702	0.0028915056027472	0.0080815916880965	0.0089636025950312	0.0045458567328751	0.0076936995610594	0.9246295094490052	0.0054078167304396	0.0115053886547684	0.0059396307915449	0.010357117280364
5	I don't.	XXXXX	0	train	3	1	1	0.004756192676723	0.0022129160352051	0.0247870963066816	0.9276987910270692	0.0015609358670189	0.0024718749336898	0.019287409260869	0.0019730883650481	0.003120683832094	0.0073787872679531	0.0016235042130574	0.0011793926823884	0.0019493284635245
6	It will just make us fat and act silly.	XXXXX	0	train	3	2	1	0.5408993363380432	0.345761239528656	0.0090211508795619	0.0130782034248113	0.0294276978820562	0.0150563912466168	0.004875311627984	0.0045906230807304	0.0032903584651649	0.0184861738234758	0.0028931540437042	0.0040036495774984	0.0086166504770517
7	Remember last time?	XXXXX	0	train	3	3	1	0.0229245983064174	0.1931397765874862	0.0205250009894371	0.0045929513871669	0.4977428019046783	0.0096886102110147	0.0044983462430536	0.0174388289451599	0.1365772932767868	0.0257928296923637	0.0125561486929655	0.006560715381056	0.0479621328413486
8	I guess you are right.	OOOOO	0	train	4	0	0	0.9561133980751038	0.0110509078949689	0.0052526840008795	0.0011082908604294	0.0048312270082533	0.009923561476171	0.0013220107648521	0.0017776431050151	0.0018042373703792	0.0014872606843709	0.0014868493890389	0.0021830222103744	0.0016589133301749
9	But what shall we do?	OOOOO	0	train	4	1	1	0.0072469213046133	0.0036417283117771	0.0017188268247991	0.0037552155554294	0.0114239891991019	0.0018735902849584	0.0047464915551245	0.6668608784675598	0.0091610634699463	0.0081823393702507	0.2702796161174774	0.0041311704553663	0.0069782119244337
